layer,L2,MAE,cosine_sim,min_a,min_b,max_a,max_b
model.layers.18.self_attn.v_proj.scales,0.177734375,0.0022869110107421875,0.96044921875,0.00311279296875,0.006801605224609375,0.0247802734375,0.031280517578125
model.layers.19.mlp.down_proj.scales,1.125,0.0031223297119140625,0.99267578125,0.005157470703125,0.00428009033203125,0.1171875,0.13671875
model.layers.19.mlp.gate_proj.scales,2.51953125,0.00624847412109375,0.9765625,0.004150390625,0.00673675537109375,0.08837890625,0.1192626953125
model.layers.19.mlp.up_proj.scales,5.19140625,0.01512908935546875,0.982421875,0.004791259765625,0.00743865966796875,0.07861328125,0.11773681640625
model.layers.19.self_attn.k_proj.scales,0.2164306640625,0.002532958984375,0.93603515625,0.002532958984375,0.0019207000732421875,0.06396484375,0.097900390625
model.layers.19.self_attn.o_proj.scales,0.28369140625,0.0016202926635742188,0.994140625,0.0040283203125,0.004199981689453125,0.1337890625,0.124755859375
model.layers.19.self_attn.q_proj.scales,0.37548828125,0.0022411346435546875,0.96826171875,0.001953125,0.0021152496337890625,0.036376953125,0.040374755859375
model.layers.19.self_attn.v_proj.scales,0.2431640625,0.0034122467041015625,0.923828125,0.002349853515625,0.005615234375,0.027099609375,0.0289764404296875
model.layers.2.mlp.down_proj.scales,2.90625,0.00823974609375,0.8974609375,0.0035552978515625,0.001277923583984375,0.1298828125,0.2393798828125
model.layers.2.mlp.gate_proj.scales,1.1025390625,0.0027980804443359375,0.97314453125,0.0047607421875,0.00527191162109375,0.05908203125,0.05560302734375
model.layers.2.mlp.up_proj.scales,10.2578125,0.0296173095703125,0.9560546875,0.00323486328125,0.00390625,0.05419921875,0.15185546875
model.layers.2.self_attn.k_proj.scales,0.1890869140625,0.002498626708984375,0.970703125,0.0029754638671875,0.0035800933837890625,0.036865234375,0.047149658203125
model.layers.2.self_attn.o_proj.scales,0.2310791015625,0.0013523101806640625,0.99462890625,0.004180908203125,0.00439453125,0.058349609375,0.06744384765625
model.layers.2.self_attn.q_proj.scales,0.43310546875,0.0025730133056640625,0.96240234375,0.002288818359375,0.0032558441162109375,0.06787109375,0.060546875
model.layers.2.self_attn.v_proj.scales,0.2027587890625,0.003223419189453125,0.93994140625,0.0021209716796875,0.004718780517578125,0.017822265625,0.019012451171875
model.layers.20.mlp.down_proj.scales,1.404296875,0.00411224365234375,0.9951171875,0.005401611328125,0.0038089752197265625,0.09814453125,0.12005615234375
